carat,cut,color,clarity,depth,table,price,x,y,z,rowid
0.59,Ideal,E,VVS2,62.00,55.00,2761.00,5.38,5.43,3.35,110
0.80,Ideal,F,SI2,61.40,57.00,2761.00,5.96,6.00,3.67,111
0.74,Ideal,E,SI2,62.20,56.00,2761.00,5.80,5.84,3.62,112
0.90,Premium,I,VS2,63.00,58.00,2761.00,6.16,6.12,3.87,113
0.74,Very Good,G,SI1,62.20,59.00,2762.00,5.73,5.82,3.59,114
0.73,Ideal,F,VS2,62.60,56.00,2762.00,5.77,5.74,3.60,115
0.73,Ideal,F,VS2,62.70,53.00,2762.00,5.80,5.75,3.62,116
0.80,Premium,F,SI2,61.70,58.00,2762.00,5.98,5.94,3.68,117
0.71,Ideal,G,VS2,62.40,54.00,2762.00,5.72,5.76,3.58,118
0.70,Ideal,E,VS2,60.70,58.00,2762.00,5.73,5.76,3.49,119
0.80,Ideal,F,SI2,59.90,59.00,2762.00,6.01,6.07,3.62,120
0.71,Ideal,D,SI2,62.30,56.00,2762.00,5.73,5.69,3.56,121
0.74,Ideal,E,SI1,62.30,54.00,2762.00,5.80,5.83,3.62,122
0.70,Very Good,F,VS2,61.70,63.00,2762.00,5.64,5.61,3.47,123
0.70,Fair,F,VS2,64.50,57.00,2762.00,5.57,5.53,3.58,124
0.70,Fair,F,VS2,65.30,55.00,2762.00,5.63,5.58,3.66,125
0.70,Premium,F,VS2,61.60,60.00,2762.00,5.65,5.59,3.46,126
0.91,Premium,H,SI1,61.40,56.00,2763.00,6.09,5.97,3.70,127
0.61,Very Good,D,VVS2,59.60,57.00,2763.00,5.56,5.58,3.32,128
0.91,Fair,H,SI2,64.40,57.00,2763.00,6.11,6.09,3.93,129
0.91,Fair,H,SI2,65.70,60.00,2763.00,6.03,5.99,3.95,130
0.77,Ideal,H,VS2,62.00,56.00,2763.00,5.89,5.86,3.64,131
0.71,Very Good,D,SI1,63.60,58.00,2764.00,5.64,5.68,3.60,132
0.71,Ideal,D,SI1,61.90,59.00,2764.00,5.69,5.72,3.53,133
0.70,Very Good,E,VS2,62.60,60.00,2765.00,5.62,5.65,3.53,134
0.77,Very Good,H,VS1,61.30,60.00,2765.00,5.88,5.90,3.61,135
0.63,Premium,E,VVS1,60.90,60.00,2765.00,5.52,5.55,3.37,136
0.71,Very Good,F,VS1,60.10,62.00,2765.00,5.74,5.77,3.46,137
0.71,Premium,F,VS1,61.80,59.00,2765.00,5.69,5.73,3.53,138
0.76,Ideal,H,SI1,61.20,57.00,2765.00,5.88,5.91,3.61,139
0.64,Ideal,G,VVS1,61.90,56.00,2766.00,5.53,5.56,3.43,140
0.71,Premium,G,VS2,60.90,57.00,2766.00,5.78,5.75,3.51,141
0.71,Premium,G,VS2,59.80,56.00,2766.00,5.89,5.81,3.50,142
0.70,Very Good,D,VS2,61.80,55.00,2767.00,5.68,5.72,3.52,143
0.70,Very Good,F,VS1,60.00,57.00,2767.00,5.80,5.87,3.50,144
0.71,Ideal,D,SI2,61.60,55.00,2767.00,5.74,5.76,3.54,145
0.70,Good,H,VVS2,62.10,64.00,2767.00,5.62,5.65,3.50,146
0.71,Very Good,G,VS1,63.30,59.00,2768.00,5.52,5.61,3.52,147
0.73,Very Good,D,SI1,60.20,56.00,2768.00,5.83,5.87,3.52,148
0.70,Very Good,D,SI1,61.10,58.00,2768.00,5.66,5.73,3.48,149
0.70,Ideal,E,SI1,60.90,57.00,2768.00,5.73,5.76,3.50,150
0.71,Premium,D,SI2,61.70,59.00,2768.00,5.71,5.67,3.51,151
0.74,Ideal,I,SI1,61.30,56.00,2769.00,5.82,5.86,3.57,152
0.71,Premium,D,VS2,62.50,60.00,2770.00,5.65,5.61,3.52,153
0.73,Premium,G,VS2,61.40,59.00,2770.00,5.83,5.76,3.56,154
0.76,Very Good,F,SI1,62.90,57.00,2770.00,5.79,5.81,3.65,155
0.76,Ideal,D,SI2,62.40,57.00,2770.00,5.78,5.83,3.62,156
0.71,Ideal,F,SI1,60.70,56.00,2770.00,5.77,5.80,3.51,157
0.73,Premium,G,VS2,60.70,58.00,2770.00,5.87,5.82,3.55,158
0.73,Premium,G,VS1,61.50,58.00,2770.00,5.79,5.75,3.55,159
0.73,Ideal,D,SI2,59.90,57.00,2770.00,5.92,5.89,3.54,160
0.73,Premium,G,VS2,59.20,59.00,2770.00,5.92,5.87,3.49,161
0.72,Very Good,H,VVS2,60.30,56.00,2771.00,5.81,5.83,3.51,162
0.73,Very Good,F,SI1,61.70,60.00,2771.00,5.79,5.82,3.58,163
0.71,Ideal,G,VS2,61.90,57.00,2771.00,5.73,5.77,3.56,164
0.79,Ideal,F,SI2,61.90,55.00,2771.00,5.97,5.92,3.68,165
0.73,Very Good,H,VVS1,60.40,59.00,2772.00,5.83,5.89,3.54,166
0.80,Very Good,F,SI2,61.00,57.00,2772.00,6.01,6.03,3.67,167
0.58,Ideal,G,VVS1,61.50,55.00,2772.00,5.39,5.44,3.33,168
0.58,Ideal,F,VVS1,61.70,56.00,2772.00,5.33,5.37,3.30,169
0.71,Good,E,VS2,59.20,61.00,2772.00,5.80,5.88,3.46,170
0.75,Ideal,D,SI2,61.30,56.00,2773.00,5.85,5.89,3.60,171
0.70,Premium,D,VS2,58.00,62.00,2773.00,5.87,5.78,3.38,172
1.17,Very Good,J,I1,60.20,61.00,2774.00,6.83,6.90,4.13,173
0.60,Ideal,E,VS1,61.70,55.00,2774.00,5.41,5.44,3.35,174
0.70,Ideal,E,SI1,62.70,55.00,2774.00,5.68,5.74,3.58,175
0.83,Good,I,VS2,64.60,54.00,2774.00,5.85,5.88,3.79,176
0.74,Very Good,F,VS2,61.30,61.00,2775.00,5.80,5.84,3.57,177
0.72,Very Good,G,VS2,63.70,56.40,2776.00,5.62,5.69,3.61,178
0.71,Premium,E,VS2,62.70,58.00,2776.00,5.74,5.68,3.58,179
0.71,Ideal,E,VS2,62.20,57.00,2776.00,5.79,5.62,3.55,180
0.54,Ideal,E,VVS2,61.60,56.00,2776.00,5.25,5.27,3.24,181
0.54,Ideal,E,VVS2,61.50,57.00,2776.00,5.24,5.26,3.23,182
0.72,Ideal,G,SI1,61.80,56.00,2776.00,5.72,5.75,3.55,183
0.72,Ideal,G,SI1,60.70,56.00,2776.00,5.79,5.82,3.53,184
0.72,Good,G,VS2,59.70,60.50,2776.00,5.80,5.84,3.47,185
0.71,Ideal,G,SI1,60.50,56.00,2776.00,5.80,5.76,3.50,186
0.70,Very Good,D,VS1,62.70,58.00,2777.00,5.66,5.73,3.57,187
0.71,Premium,F,VS2,62.10,58.00,2777.00,5.67,5.70,3.53,188
0.71,Very Good,F,VS2,62.80,57.00,2777.00,5.64,5.69,3.56,189
0.71,Good,F,VS2,63.80,58.00,2777.00,5.61,5.64,3.59,190
0.71,Good,F,VS2,57.80,60.00,2777.00,5.87,5.90,3.40,191
0.70,Ideal,E,VS2,62.10,55.00,2777.00,5.70,5.67,3.53,192
0.70,Premium,E,VS2,61.10,60.00,2777.00,5.71,5.64,3.47,193
0.70,Premium,E,SI1,60.00,59.00,2777.00,5.79,5.75,3.46,194
0.70,Premium,E,SI1,61.20,57.00,2777.00,5.73,5.68,3.49,195
0.70,Premium,E,SI1,62.70,59.00,2777.00,5.67,5.63,3.54,196
0.70,Premium,E,SI1,61.00,57.00,2777.00,5.73,5.68,3.48,197
0.70,Premium,E,SI1,61.00,58.00,2777.00,5.78,5.72,3.51,198
0.70,Ideal,E,SI1,61.40,57.00,2777.00,5.76,5.70,3.52,199
0.72,Premium,F,SI1,61.80,61.00,2777.00,5.82,5.71,3.56,200
0.70,Very Good,E,SI1,59.90,63.00,2777.00,5.76,5.70,3.43,201
0.70,Premium,E,SI1,61.30,58.00,2777.00,5.71,5.68,3.49,202
0.70,Premium,E,SI1,60.50,58.00,2777.00,5.77,5.74,3.48,203
0.70,Good,E,VS2,64.10,59.00,2777.00,5.64,5.59,3.60,204
0.98,Fair,H,SI2,67.90,60.00,2777.00,6.05,5.97,4.08,205
0.78,Premium,F,SI1,62.40,58.00,2777.00,5.83,5.80,3.63,206
0.70,Very Good,E,SI1,63.20,60.00,2777.00,5.60,5.51,3.51,207
0.52,Ideal,F,VVS1,61.30,55.00,2778.00,5.19,5.22,3.19,208
0.73,Very Good,H,VS2,60.80,56.00,2779.00,5.82,5.84,3.55,209
0.74,Ideal,E,SI1,61.70,56.00,2779.00,5.84,5.80,3.59,210
0.70,Very Good,F,VS2,63.60,57.00,2780.00,5.61,5.65,3.58,211
0.77,Premium,G,VS2,61.20,58.00,2780.00,5.90,5.93,3.62,212
0.71,Ideal,F,VS2,62.10,54.00,2780.00,5.68,5.72,3.54,213
0.74,Ideal,G,VS1,61.50,55.00,2780.00,5.81,5.86,3.59,214
0.70,Ideal,G,VS1,61.40,59.00,2780.00,5.64,5.73,3.49,215
1.01,Premium,F,I1,61.80,60.00,2781.00,6.39,6.36,3.94,216
0.77,Ideal,H,SI1,62.20,56.00,2781.00,5.83,5.88,3.64,217
0.78,Ideal,H,SI1,61.20,56.00,2781.00,5.92,5.99,3.64,218
0.72,Very Good,H,VS1,60.60,63.00,2782.00,5.83,5.76,3.51,219
0.53,Very Good,D,VVS2,57.50,64.00,2782.00,5.34,5.37,3.08,220
0.76,Ideal,G,VS2,61.30,56.00,2782.00,5.90,5.94,3.63,221
0.70,Good,E,VS1,57.20,62.00,2782.00,5.81,5.77,3.31,222
0.70,Premium,E,VS1,62.90,60.00,2782.00,5.62,5.54,3.51,223
0.75,Very Good,D,SI2,63.10,58.00,2782.00,5.78,5.73,3.63,224
0.72,Ideal,D,SI1,60.80,57.00,2782.00,5.76,5.75,3.50,225
0.72,Premium,D,SI1,62.70,59.00,2782.00,5.73,5.69,3.58,226
0.70,Premium,D,SI1,62.80,60.00,2782.00,5.68,5.66,3.56,227
0.84,Fair,G,SI1,55.10,67.00,2782.00,6.39,6.20,3.47,228
0.75,Premium,F,SI1,61.40,59.00,2782.00,5.88,5.85,3.60,229
0.52,Ideal,F,IF,62.20,55.00,2783.00,5.14,5.18,3.21,230
0.72,Very Good,F,VS2,63.00,54.00,2784.00,5.69,5.73,3.60,231
0.79,Very Good,H,VS1,63.70,56.00,2784.00,5.85,5.92,3.75,232
0.72,Very Good,F,VS2,63.60,58.00,2787.00,5.66,5.69,3.61,233
0.51,Ideal,F,VVS1,62.00,57.00,2787.00,5.11,5.15,3.18,234
0.64,Ideal,D,VS1,61.50,56.00,2787.00,5.54,5.55,3.41,235
0.70,Very Good,H,VVS1,60.50,60.00,2788.00,5.74,5.77,3.48,236
0.83,Very Good,I,VS1,61.10,60.00,2788.00,6.07,6.10,3.72,237
0.76,Ideal,I,VVS2,61.80,56.00,2788.00,5.85,5.87,3.62,238
0.71,Good,D,VS2,63.30,56.00,2788.00,5.64,5.68,3.58,239
0.77,Good,G,VS1,59.40,64.00,2788.00,5.97,5.92,3.53,240
0.71,Ideal,F,SI1,62.50,55.00,2788.00,5.71,5.65,3.55,241
1.01,Fair,E,I1,64.50,58.00,2788.00,6.29,6.21,4.03,242
1.01,Premium,H,SI2,62.70,59.00,2788.00,6.31,6.22,3.93,243
0.77,Good,F,SI1,64.20,52.00,2789.00,5.81,5.77,3.72,244
0.76,Good,E,SI1,63.70,54.00,2789.00,5.76,5.85,3.70,245
0.76,Premium,E,SI1,60.40,58.00,2789.00,5.92,5.94,3.58,246
0.76,Premium,E,SI1,61.80,58.00,2789.00,5.82,5.86,3.61,247
1.05,Very Good,J,SI2,63.20,56.00,2789.00,6.49,6.45,4.09,248
0.81,Ideal,G,SI2,61.60,56.00,2789.00,5.97,6.01,3.69,249
0.70,Ideal,E,SI1,61.60,56.00,2789.00,5.72,5.75,3.53,250
0.55,Ideal,G,IF,60.90,57.00,2789.00,5.28,5.30,3.22,251
0.81,Good,G,SI2,61.00,61.00,2789.00,5.94,5.99,3.64,252
0.63,Premium,E,VVS2,62.10,57.00,2789.00,5.48,5.41,3.38,253
0.63,Premium,E,VVS1,60.90,60.00,2789.00,5.55,5.52,3.37,254
0.77,Premium,H,VS1,61.30,60.00,2789.00,5.90,5.88,3.61,255
1.05,Fair,J,SI2,65.80,59.00,2789.00,6.41,6.27,4.18,256
0.64,Ideal,G,IF,61.30,56.00,2790.00,5.54,5.58,3.41,257
0.76,Premium,I,VVS1,58.80,59.00,2790.00,6.00,5.94,3.51,258
0.83,Ideal,F,SI2,62.30,55.00,2790.00,6.02,6.05,3.76,259
0.71,Premium,F,VS1,60.10,62.00,2790.00,5.77,5.74,3.46,260
0.71,Premium,F,VS1,61.80,59.00,2790.00,5.73,5.69,3.53,261
0.87,Very Good,I,SI1,63.60,55.80,2791.00,6.07,6.10,3.87,262
0.73,Ideal,E,SI1,62.20,56.00,2791.00,5.74,5.78,3.58,263
0.71,Premium,E,SI1,59.20,59.00,2792.00,5.83,5.86,3.46,264
0.71,Premium,E,SI1,61.80,59.00,2792.00,5.70,5.75,3.54,265
0.71,Ideal,E,SI1,61.30,55.00,2792.00,5.72,5.77,3.52,266
0.70,Premium,F,VS1,62.10,60.00,2792.00,5.71,5.65,3.53,267
0.70,Premium,F,VS1,60.70,60.00,2792.00,5.78,5.75,3.50,268
0.76,Premium,H,VVS2,59.60,57.00,2792.00,5.91,5.86,3.51,269
0.70,Ideal,F,VS1,62.20,56.00,2792.00,5.73,5.68,3.55,270
0.79,Very Good,G,SI1,60.60,57.00,2793.00,5.98,6.06,3.65,271
0.70,Very Good,E,VS2,62.90,57.00,2793.00,5.66,5.69,3.57,272
0.70,Good,E,VS2,64.10,55.00,2793.00,5.60,5.66,3.61,273
0.76,Ideal,I,VS2,61.30,56.00,2793.00,5.87,5.91,3.61,274
0.73,Ideal,H,VS2,62.70,55.00,2793.00,5.72,5.76,3.60,275
0.79,Very Good,E,SI1,63.20,56.00,2794.00,5.91,5.86,3.72,276
0.71,Very Good,E,VS2,60.70,56.00,2795.00,5.81,5.82,3.53,277
0.81,Premium,I,VVS2,61.90,60.00,2795.00,5.91,5.86,3.64,278
0.81,Ideal,F,SI2,62.60,55.00,2795.00,5.92,5.96,3.72,279
0.72,Good,F,VS1,60.70,60.00,2795.00,5.74,5.72,3.48,280
0.72,Premium,D,SI2,62.00,60.00,2795.00,5.73,5.69,3.54,281
0.72,Premium,I,IF,63.00,57.00,2795.00,5.72,5.70,3.60,282
0.81,Premium,H,VS2,58.00,59.00,2795.00,6.17,6.13,3.57,283
0.72,Premium,G,VS2,62.90,57.00,2795.00,5.73,5.65,3.58,284
1.00,Premium,I,SI2,58.20,60.00,2795.00,6.61,6.55,3.83,285
0.73,Good,E,SI1,63.20,58.00,2796.00,5.70,5.76,3.62,286
0.81,Very Good,H,SI2,61.30,59.00,2797.00,5.94,6.01,3.66,287
0.81,Very Good,E,SI1,60.30,60.00,2797.00,6.07,6.10,3.67,288
0.71,Premium,D,SI1,62.70,60.00,2797.00,5.67,5.71,3.57,289
0.71,Premium,D,SI1,61.30,58.00,2797.00,5.73,5.75,3.52,290
0.71,Premium,D,SI1,61.60,60.00,2797.00,5.74,5.69,3.52,291
0.57,Ideal,F,VVS2,61.90,55.00,2797.00,5.34,5.35,3.31,292
0.51,Ideal,D,VVS1,61.70,56.00,2797.00,5.12,5.16,3.17,293
0.72,Ideal,G,VS2,61.90,58.00,2797.00,5.72,5.75,3.55,294
0.74,Ideal,H,VS1,61.80,58.00,2797.00,5.77,5.81,3.58,295
0.74,Ideal,H,VS1,61.60,56.00,2797.00,5.81,5.82,3.58,296
0.70,Fair,G,VVS1,58.80,66.00,2797.00,5.81,5.90,3.44,297
0.80,Premium,F,SI2,61.00,57.00,2797.00,6.03,6.01,3.67,298
1.01,Fair,E,SI2,67.40,60.00,2797.00,6.19,6.05,4.13,299
0.80,Very Good,H,VS2,63.40,60.00,2797.00,5.92,5.82,3.72,300
0.77,Ideal,I,VS1,61.50,59.00,2798.00,5.87,5.91,3.62,301
0.83,Very Good,E,SI2,58.00,62.00,2799.00,6.19,6.25,3.61,302
0.82,Ideal,F,SI2,62.40,54.00,2799.00,5.97,6.02,3.74,303
0.78,Ideal,D,SI1,61.90,57.00,2799.00,5.91,5.86,3.64,304
0.60,Very Good,G,IF,61.60,56.00,2800.00,5.43,5.46,3.35,305
0.90,Good,I,SI2,62.20,59.00,2800.00,6.07,6.11,3.79,306
0.70,Premium,E,VS1,62.20,58.00,2800.00,5.60,5.66,3.50,307
0.90,Very Good,I,SI2,61.30,56.00,2800.00,6.17,6.23,3.80,308
0.83,Ideal,G,SI1,62.30,57.00,2800.00,5.99,6.08,3.76,309
0.83,Ideal,G,SI1,61.80,57.00,2800.00,6.03,6.07,3.74,310
0.83,Very Good,H,SI1,62.50,59.00,2800.00,5.95,6.02,3.74,311
0.74,Premium,G,VS1,62.90,60.00,2800.00,5.74,5.68,3.59,312
0.79,Ideal,I,VS1,61.80,59.00,2800.00,5.92,5.95,3.67,313
0.61,Ideal,G,IF,62.30,56.00,2800.00,5.43,5.45,3.39,314
0.76,Fair,G,VS1,59.00,70.00,2800.00,5.89,5.80,3.46,315
0.96,Ideal,F,I1,60.70,55.00,2801.00,6.37,6.41,3.88,316
0.73,Ideal,F,VS2,62.50,55.00,2801.00,5.80,5.76,3.61,317
0.73,Premium,F,VS2,62.70,58.00,2801.00,5.76,5.70,3.59,318
0.75,Ideal,H,SI1,60.40,57.00,2801.00,5.93,5.96,3.59,319
0.71,Premium,F,VS2,62.10,58.00,2801.00,5.70,5.67,3.53,320
0.71,Good,F,VS2,57.80,60.00,2801.00,5.90,5.87,3.40,321
0.71,Good,F,VS2,63.80,58.00,2801.00,5.64,5.61,3.59,322
0.71,Premium,F,VS2,62.80,57.00,2801.00,5.69,5.64,3.56,323
1.04,Premium,G,I1,62.20,58.00,2801.00,6.46,6.41,4.00,324
1.00,Premium,J,SI2,62.30,58.00,2801.00,6.45,6.34,3.98,325
0.87,Very Good,G,SI2,59.90,58.00,2802.00,6.19,6.23,3.72,326
0.53,Ideal,F,IF,61.90,54.00,2802.00,5.22,5.25,3.24,327
0.72,Premium,E,VS2,63.00,55.00,2802.00,5.79,5.61,3.59,328
0.72,Premium,F,VS1,62.40,58.00,2802.00,5.83,5.70,3.60,329
0.70,Very Good,F,VS2,62.90,58.00,2803.00,5.63,5.65,3.55,330
0.74,Very Good,E,SI1,63.50,56.00,2803.00,5.74,5.79,3.66,331
0.71,Ideal,G,VS2,61.30,56.00,2803.00,5.75,5.71,3.51,332
0.73,Ideal,E,SI1,60.60,54.00,2803.00,5.84,5.89,3.55,333
0.70,Good,G,VS1,65.10,58.00,2803.00,5.56,5.59,3.63,334
0.71,Premium,F,VS2,62.60,58.00,2803.00,5.70,5.67,3.56,335
0.71,Premium,F,VS2,58.00,62.00,2803.00,5.85,5.81,3.38,336
0.71,Premium,G,VS1,62.40,61.00,2803.00,5.70,5.65,3.54,337
